PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
UtMOLEBiobc	2024-01-21	N	v. 3.0|SA|Series|HoloSud Showdown	
30	ol	Rherican	pe	LudgerKant	2
133	ol	Rherican	pe	LudgerKant	2

5CsyT85E8pg	2024-01-21	N	v. 3.0|SA|Series|HoloSud Showdown	
34	ay	Tiut	ay	Beltenebris	2
122	ay	Tiut	ay	Beltenebris	2

zUzVpzkCNGo	2024-01-21	N	v. 3.0|SA|Series|HoloSud Showdown	
24	pe	LudgerKant	ko	Rosi_CL	1
174	pe	LudgerKant	ko	Rosi_CL	1

tz6BGAOh7Ow	2024-01-21	N	v. 3.0|SA|Series|HoloSud Showdown	
34	fu	SEDEX | Encomenda	ol	Javier	1
144	fu	SEDEX | Encomenda	ol	Javier	1
251	fu	SEDEX | Encomenda	ol	Javier	1

BgQc9BtYMXg	2024-01-21	N	v. 3.0|SA|Series|HoloSud Showdown	
71	pe	LudgerKant	ay	Beltenebris	1
252	pe	LudgerKant	ay	Beltenebris	1
411	pe	LudgerKant	ay	Beltenebris	1

0voTR1HbTHI	2024-01-21	N	v. 3.0|SA|Series|HoloSud Showdown	
28	pe	LudgerKant	fu	SEDEX | Encomenda	1
174	pe	LudgerKant	fu	SEDEX | Encomenda	1
338	pe	LudgerKant	fu	SEDEX | Encomenda	1

EAa2iyduSUU	2024-01-21	N	v. 3.0|SA|Series|HoloSud Showdown	
43	fu	SEDEX | Encomenda	fu	Seishin	1
157	fu	SEDEX | Encomenda	fu	Seishin	1
268	fu	SEDEX | Encomenda	fu	Seishin	1

XzIQtf52Fso	2024-01-21	N	v. 3.0|SA|Series|HoloSud Showdown	
31	pe	LudgerKant	fu	SEDEX | Encomenda	2
161	pe	LudgerKant	fu	SEDEX | Encomenda	2
385	pe	LudgerKant	fu	SEDEX | Encomenda	1
751	pe	LudgerKant	fu	SEDEX | Encomenda	1
924	pe	LudgerKant	fu	SEDEX | Encomenda	1

ikXaf02HA_0	2024-03-15	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
10	pe	upao	su	Koushun	1
174	pe	upao	su	Koushun	1
281	pe	upao	su	Koushun	2
429	pe	upao	su	Koushun	1

nXMhAsYa2nU	2023-05-13	N	v. 1.0|SA|Series|Seiso na Aidoru	
382	fu	ByRanni	bo	EduuSama	1
490	fu	ByRanni	bo	EduuSama	1
849	bo	Kalintz	ay	JeapleNiz3	1
969	bo	Kalintz	ay	JeapleNiz3	1
1329	fu	Zanaylo	bo	TavinhoAC	2
1451	bo	Zanaylo	bo	TavinhoAC	1
1562	bo	Zanaylo	bo	TavinhoAC	1
1823	bo	Razor	ko	Daniel INSS	1
1982	bo	Razor	co	Daniel INSS	1
2248	so	BlackJet	ay	Yuusha-68	1
2394	so	BlackJet	ay	Yuusha-68	1
2729	fu	Zanaylo	ay	CodeEpsilon5	2
2873	fu	Zanaylo	ay	CodeEpsilon5	2
3396	ay	Gilga	bo	Kalintz	2
3573	ay	Gilga	bo	Kalintz	1
3679	ay	Gilga	bo	Kalintz	1
4020	so	BlackJet	ay	CodeEpsilon5	1
4165	so	BlackJet	ay	CodeEpsilon5	1
4447	ak	AmmySensei	ay	Gilga	1
4615	ak	AmmySensei	ay	Gilga	1
5311	fu	Zanaylo	ay	Gilga	1
5426	fu	Zanaylo	ay	Gilga	1
5771	bo	Kalintz	ay	CodeEpsilon5	1
5875	bo	Kalintz	ay	CodeEpsilon5	2
6038	bo	Kalintz	ay	CodeEpsilon5	2
6232	so	BlackJet	ak	AmmySensei	2
6345	so	BlackJet	ak	AmmySensei	2
6459	so	BlackJet	ak	AmmySensei	2
6728	ay	CodeEpsilon5	fu	Zanaylo	2
6888	ay	CodeEpsilon5	fu	Zanaylo	2
7119	so	BlackJet	fu	Zanaylo	2
7289	so	BlackJet	fu	Zanaylo	2
7430	so	BlackJet	fu	Zanaylo	2
7656	fu	Zanaylo	ak	AmmySensei	2
7756	fu	Zanaylo	ak	AmmySensei	2
7879	bo	Zanaylo	ak	AmmySensei	2

vYmskUNGM0o	2023-08-19	N	v. 2.0|SA|Series|Seiso na Aidoru	
856	fu	Chiro	fu	Camelo	2
963	fu	Chiro	fu	Camelo	2
1332	su	monge com pá	ay	The Big David	2
1442	su	monge com pá	ay	The Big David	2
1828	ko	Imano Ob	ko	zix	1
1976	ko	Imano Ob	ko	zix	2
2605	ko	zix	ko	Imano Ob	2
3275	co	CodeEpsilon5	ko	Imano Ob	1
3387	co	CodeEpsilon5	ko	Imano Ob	1
3666	co	SEDEX | Encomenda	pe	PratesKun	2
3789	co	SEDEX | Encomenda	pe	PratesKun	2
4072	co	CodeEpsilon5	pe	PratesKun	1
4238	co	CodeEpsilon5	pe	PratesKun	1
4614	co	CodeEpsilon5	pe	PratesKun	1
4875	ko	zix	fu	Camelo	2
4996	ko	zix	fu	Camelo	2
5382	fu	Chiro	ay	The Big David	1
5636	fu	Chiro	ay	The Big David	1
5887	co	SEDEX | Encomenda	fu	Camelo	1
6454	ko	Imano Ob	fu	Chiro	1
6574	ko	Imano Ob	fu	Chiro	1
7070	ko	Imano Ob	co	SEDEX | Encomenda	2
7255	ko	Imano Ob	co	SEDEX | Encomenda	2
7727	co	SEDEX | Encomenda	pe	PratesKun	1
7917	co	SEDEX | Encomenda	pe	PratesKun	1
8070	co	SEDEX | Encomenda	ay	PratesKun	2
8243	co	SEDEX | Encomenda	ay	PratesKun	1
8767	co	CodeEpsilon5	co	SEDEX | Encomenda	2
8956	co	CodeEpsilon5	co	SEDEX | Encomenda	1
9100	co	CodeEpsilon5	co	SEDEX | Encomenda	1
9393	co	CodeEpsilon5	co	SEDEX | Encomenda	2
9541	co	CodeEpsilon5	co	SEDEX | Encomenda	1

ryL2cdTj9cM	2023-09-16	N	v. 2.0|SA|Series|Seiso na Aidoru	
575	pe	Chiro	so	rafarpo	1
718	pe	Chiro	so	rafarpo	1
1007	bo	Camelo	ay	Totty	1
1112	bo	Camelo	ay	Totty	1
1378	su	Metaking	fu	SEDEX | Encomenda	2
1544	su	Metaking	fu	SEDEX | Encomenda	2
1825	pe	PratesKun	ko	SEDEX | pacote	1
2055	pe	PratesKun	ko	SEDEX | pacote	2
2443	pe	PratesKun	ko	SEDEX | pacote	2
3260	ko	SEDEX | pacote	fu	SEDEX | Encomenda	2
3371	ko	SEDEX | pacote	fu	SEDEX | Encomenda	2
3604	ay	Ikkisoad	co	CodeEpsilon5	1
3790	co	CodeEpsilon5	ay	Ikkisoad	2
4055	bo	Camelo	pe	Chiro	1
4162	bo	Camelo	fu	Chiro	1
4581	pe	PratesKun	su	Metaking	2
4773	pe	PratesKun	su	Metaking	1
4961	pe	PratesKun	su	Metaking	2
5455	ko	SEDEX | pacote	bo	Camelo	1
5650	ko	SEDEX | pacote	bo	Camelo	2
5823	ko	SEDEX | pacote	bo	Camelo	2
6141	co	CodeEpsilon5	su	Metaking	1
6303	co	CodeEpsilon5	su	Metaking	1
7068	ay	Ikkisoad	fu	SEDEX | Encomenda	2
7210	ay	Ikkisoad	fu	SEDEX | Encomenda	2
7340	ay	Ikkisoad	fu	SEDEX | Encomenda	2
7592	co	CodeEpsilon5	ay	Ikkisoad	2
7769	co	CodeEpsilon5	ay	Ikkisoad	1
7956	co	CodeEpsilon5	ay	Ikkisoad	2
8092	co	CodeEpsilon5	ay	Ikkisoad	2
8458	ay	Ikkisoad	fu	SEDEX | Encomenda	2
8602	ay	Ikkisoad	fu	SEDEX | Encomenda	2
8730	ay	Ikkisoad	fu	SEDEX | Encomenda	1
8879	ay	Ikkisoad	fu	SEDEX | Encomenda	2

h7ZLmz8S9FA	2023-07-16	N	Womble|Series|v. 1.3|EU|Round Robin	
489	so	VanArtic	so	FaceBreaker	1
685	so	VanArtic	so	FaceBreaker	1
933	fu	Lozardo	ko	neavy	2
1089	fu	Lozardo	ko	neavy	2
1787	ko	Exslide	ak	Edward Yolag	2
1902	ko	Exslide	ak	Edward Yolag	1
2081	ko	Exslide	ak	Edward Yolag	1
2304	so	VanArtic	ko	neavy	2
2381	so	VanArtic	ko	neavy	1
2548	so	VanArtic	ko	neavy	2
2945	fu	Lozardo	so	FaceBreaker	1
3070	fu	Lozardo	so	FaceBreaker	1
3316	ko	neavy	ko	Exslide	2
3498	ko	neavy	ko	Exslide	2

ODQJYu_gK0M	2023-07-23	N	Womble|Series|v. 1.3|EU	
597	fu	Lozardo	so	FaceBreaker	1
785	fu	Lozardo	so	FaceBreaker	1
1169	fu	Lozardo	ay	Logec	2
1334	fu	Lozardo	ay	Logec	2
1525	so	VanArtic	ko	Exslide	1
1659	so	VanArtic	ko	Exslide	2
1737	so	VanArtic	ko	Exslide	1
2038	so	VanArtic	ay	Logec	1
2205	so	VanArtic	ay	Logec	2
2321	so	VanArtic	ay	Logec	2
2562	so	VanArtic	ay	Logec	2
2769	fu	Lozardo	ko	Exslide	1
2973	fu	Lozardo	ko	Exslide	2
3082	fu	Lozardo	ko	Exslide	1
3255	fu	Lozardo	so	VanArtic	2
3382	fu	Lozardo	so	VanArtic	1
3487	fu	Lozardo	so	VanArtic	1
3595	fu	Lozardo	so	VanArtic	1
3795	fu	Lozardo	ay	Logec	2
3971	fu	Lozardo	ay	Logec	2
4062	fu	Lozardo	ay	Logec	1
4239	fu	Lozardo	ay	Logec	2

KCiA7NGeUg0	2024-03-02	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
